@relation ACM_Classifier

@attribute name string
@attribute occurrence numeric
@attribute category {Applied_computing,Computer_systems_organization,Computing_and_methodologies,Data,General_and_reference,Hardware,Information_systems,Mathematics_of_computing,Social_and_professional_topics,Software_and_its_engineering,Theory_of_computation}

@data
fak,1,Applied_computing
problem,1,Applied_computing
fpga,4,Applied_computing
displai,1,Applied_computing
routin,1,Applied_computing
embed,1,Applied_computing
fax,1,Applied_computing
plan,1,Applied_computing
case,3,Applied_computing
phase,3,Applied_computing
applic,6,Applied_computing
tion,1,Applied_computing
multipl,5,Applied_computing
goal,1,Applied_computing
method,1,Applied_computing
lysaght,1,Applied_computing
work,6,Applied_computing
modul,2,Applied_computing
suitabl,2,Applied_computing
exist,2,Applied_computing
explicitli,1,Applied_computing
memori,3,Applied_computing
consid,2,Applied_computing
republish,1,Applied_computing
suit,1,Applied_computing
explot,1,Applied_computing
henc,1,Applied_computing
direct,1,Applied_computing
copi,4,Applied_computing
requir,4,Applied_computing
compil,25,Applied_computing
gen,1,Applied_computing
fct,1,Applied_computing
archi,2,Applied_computing
alon,1,Applied_computing
abstract,2,Applied_computing
ansi,1,Applied_computing
predic,1,Applied_computing
reconfig,1,Applied_computing
width,2,Applied_computing
prone,1,Applied_computing
date,4,Applied_computing
small,1,Applied_computing
allel,1,Applied_computing
data,3,Applied_computing
fed,1,Applied_computing
own,1,Applied_computing
fee,2,Applied_computing
tomat,1,Applied_computing
major,1,Applied_computing
simpl,1,Applied_computing
portugues,1,Applied_computing
hardwar,8,Applied_computing
portug,2,Applied_computing
profil,1,Applied_computing
onli,2,Applied_computing
inner,1,Applied_computing
most,1,Applied_computing
fft,1,Applied_computing
person,1,Applied_computing
softcor,1,Applied_computing
effect,3,Applied_computing
garpcc,4,Applied_computing
multiprocessor,1,Applied_computing
joa,1,Applied_computing
achiev,2,Applied_computing
scienc,1,Applied_computing
eea,2,Applied_computing
request,1,Applied_computing
inappropri,1,Applied_computing
tract,1,Applied_computing
procedur,1,Applied_computing
arrai,4,Applied_computing
part,1,Applied_computing
graham,1,Applied_computing
inesc,2,Applied_computing
error,1,Applied_computing
platform,2,Applied_computing
